"treatment","variety","yield.n","yield.mean","yield.sd"
"con","Frank", 7.0000000,11.1185714, 0.5629100
"wl","Frank", 7.0000000, 4.8237143, 1.1357655
"con","Macq", 7.0000000,10.4201000, 1.1588766
"wl","Macq", 7.0000000, 6.7618571, 1.0385399
"con","Macq-", 7.0000000, 9.8500286, 0.7693951
"wl","Macq-", 7.0000000, 6.7321905, 0.7944994
"con","Macq+", 7.0000000, 9.6311143, 0.7229818
"wl","Macq+", 7.0000000, 8.2079429, 1.2504465
"con","Planet", 7.0000000,12.2583571, 1.0660065
"wl","Planet", 7.0000000, 5.8901905, 0.8330030
"con","Planet-", 3.0000000,13.1173333, 1.0995023
"wl","Planet-", 3.0000000, 6.3217778, 0.8215588
"con","Planet+", 3.0000000,12.8278333, 1.0935109
"wl","Planet+", 3.0000000, 7.7393333, 0.6523281
"con","TAM169", 4.0000000,12.0876000, 0.6893325
"wl","TAM169", 4.0000000,10.3270000, 0.7554698
"con","TAMF169", 3.0000000,11.6122000, 0.2763500
"wl","TAMF169", 3.0000000, 8.6929200, 0.3273143
"con","Westm", 3.0000000,10.3137778, 0.3925016
"wl","Westm", 3.0000000, 6.7810000, 0.3651540
"con","Westm-", 3.0000000, 9.3875556, 0.8511235
"wl","Westm-", 3.0000000, 6.2528889, 0.5286399
"con","Westm-2", 3.0000000, 8.4408889, 0.1020878
"wl","Westm-2", 3.0000000, 5.5195556, 0.6717742
"con","Westm+", 3.0000000, 9.8032889, 0.5522740
"wl","Westm+", 3.0000000, 7.7794889, 0.3843099
"con","Westm+2", 3.0000000, 8.2168889, 0.1019833
"wl","Westm+2", 3.0000000, 6.1733333, 0.3885586
"con","Westminister", 4.0000000,11.3588000, 0.4998105
"wl","Westminister", 4.0000000, 8.6192000, 0.5920562
"con","Westminister-1", 4.0000000,10.2174000, 0.5741401
"wl","Westminister-1", 4.0000000, 9.1130000, 0.8177261
"con","Westminister-2", 4.0000000, 9.3713500, 1.3659425
"wl","Westminister-2", 4.0000000, 9.0680000, 1.2866743
"con","Westminister-5", 4.0000000,11.0396000, 0.9487332
"wl","Westminister-5", 4.0000000, 9.1580000, 1.4537143
"con","Westminister-6", 4.0000000,10.4799000, 1.0077714
"wl","Westminister-6", 4.0000000, 7.6150000, 0.5909574
"con","Westminister+1", 4.0000000, 9.9930000, 0.8428800
"wl","Westminister+1", 4.0000000, 9.8270000, 0.6677594
"con","Westminister+2", 4.0000000, 9.6470000, 1.0638615
"wl","Westminister+2", 4.0000000, 7.4370000, 1.9688653
"con","Westminister+3", 4.0000000,10.2941000, 1.1348073
"wl","Westminister+3", 4.0000000, 8.8080000, 1.4991304
"con","Westminister+4", 4.0000000, 9.9691000, 0.2723228
"wl","Westminister+4", 4.0000000, 8.8730000, 1.9886515
"con","Westminister+5", 4.0000000,10.1922000, 1.1653331
"wl","Westminister+5", 4.0000000, 9.4640000, 1.4437322
"con","Westminister+6", 4.0000000,10.2524000, 1.1480751
"wl","Westminister+6", 4.0000000, 7.9750000, 0.6887467
"con","Yerong", 7.0000000,10.7556476, 2.1452776
"wl","Yerong", 7.0000000, 8.9949524, 2.2165713
"con","YF163", 7.0000000, 9.8436000, 1.1919520
"wl","YF163", 7.0000000, 3.3819048, 0.8370417
"con","YF225", 7.0000000,10.5686381, 1.0298748
"wl","YF225", 7.0000000, 8.9885714, 2.1376182
