date,hive,count,duration
1/1/2021,hive1,3,301
1/1/2021,hive2,55,3198
1/1/2021,hive4,101,6153
10/1/2021,hive1,7,1179
10/1/2021,hive2,14,702
10/1/2021,hive4,62,3537
11/1/2021,hive1,6,580
11/1/2021,hive2,5,447
11/1/2021,hive4,25,1313
13/1/2021,hive1,2,255
13/1/2021,hive2,21,1385
13/1/2021,hive4,40,2060
14/1/2021,hive1,1,3
14/1/2021,hive2,26,1614
14/1/2021,hive4,22,1685
15/1/2021,hive2,1,7
15/1/2021,hive4,10,715
16/1/2021,hive2,8,144
16/1/2021,hive4,10,263
17/1/2021,hive2,17,521
17/1/2021,hive4,9,252
19/1/2021,hive2,14,530
19/1/2021,hive4,8,362
19/12/2020,hive1,1,15
19/12/2020,hive2,23,359
19/12/2020,hive4,42,1493
2/1/2021,hive1,6,476
2/1/2021,hive2,58,3732
2/1/2021,hive4,108,6771
20/1/2021,hive2,20,1567
20/1/2021,hive4,12,862
20/12/2020,hive1,2,14
20/12/2020,hive2,32,552
20/12/2020,hive4,42,1381
21/1/2021,hive2,21,1538
21/1/2021,hive4,10,1075
21/12/2020,hive1,3,105
21/12/2020,hive2,74,2127
21/12/2020,hive4,82,3010
22/12/2020,hive2,1,34
22/12/2020,hive4,14,207
23/12/2020,hive1,2,8
23/12/2020,hive2,48,2068
23/12/2020,hive4,72,4604
24/12/2020,hive2,40,1139
24/12/2020,hive4,45,2129
25/1/2021,hive2,18,1107
25/1/2021,hive4,18,1240
25/12/2020,hive1,4,149
25/12/2020,hive2,67,2807
25/12/2020,hive4,118,7171
27/1/2021,hive2,1,73
27/1/2021,hive4,7,348
27/12/2020,hive1,2,276
27/12/2020,hive2,131,4788
27/12/2020,hive4,157,6489
28/1/2021,hive1,2,75
28/1/2021,hive2,10,557
28/1/2021,hive4,19,1091
28/12/2020,hive1,3,72
28/12/2020,hive2,59,2460
28/12/2020,hive4,68,3795
29/12/2020,hive1,11,375
29/12/2020,hive2,112,5875
29/12/2020,hive4,146,6990
3/1/2021,hive1,10,500
3/1/2021,hive2,59,3749
3/1/2021,hive4,98,6658
30/12/2020,hive1,6,254
30/12/2020,hive2,54,3076
30/12/2020,hive4,98,5225
31/12/2020,hive2,8,165
31/12/2020,hive4,22,780
4/1/2021,hive1,4,167
4/1/2021,hive2,49,2336
4/1/2021,hive4,92,4448
6/1/2021,hive2,11,370
6/1/2021,hive4,26,1506
8/1/2021,hive1,9,789
8/1/2021,hive2,41,2894
8/1/2021,hive4,58,5098
9/1/2021,hive1,11,850
9/1/2021,hive2,40,2193
9/1/2021,hive4,58,4163
