"block","product","rate","plant","period","height","csa"
"1","2","RATE1","1","7",9.5,2.78
"1","1","RATE4","2","7",19.5,8
"1","1","RATE3","3","7",14,4.18
"1","1","RATE2","4","7",13.5,4.08
"1","1","RATE5","5","7",22,7.01
"1","1","RATE1","6","7",14,4.45
"1","3","RATE3","7","7",14,3.86
"1","2","RATE4","8","7",21.5,8.07
"1","2","RATE3","9","7",16,5.38
"1","3","RATE2","10","7",9.5,3.85
"1","3","RATE4","11","7",24,6.28
"1","0","RATE0","12","7",29,9.49
"1","3","RATE1","13","7",12,3.23
"1","3","RATE5","14","7",34,9.51
"1","2","RATE5","15","7",21,9.48
"1","2","RATE2","16","7",10.5,4.64
"2","3","RATE4","17","7",27,6.29
"2","2","RATE2","18","7",12,3.98
"2","2","RATE5","19","7",15,7.64
"2","1","RATE4","20","7",16,8.65
"2","3","RATE5","21","7",21.5,8.45
"2","1","RATE2","22","7",11,4.71
"2","3","RATE2","23","7",11.5,3.31
"2","0","RATE0","24","7",25,8.64
"2","1","RATE3","25","7",14,5.15
"2","1","RATE1","26","7",11.5,3.84
"2","3","RATE1","27","7",15,3.43
"2","3","RATE3","28","7",14,5.28
"2","2","RATE3","29","7",28.5,5.56
"2","1","RATE5","30","7",27.5,9.4
"2","2","RATE4","31","7",19,4.77
"2","2","RATE1","32","7",11.5,3.63
"3","2","RATE1","33","7",9.5,3.53
"3","0","RATE0","34","7",25.5,8.84
"3","3","RATE3","35","7",13,4.73
"3","1","RATE4","36","7",26,7.13
"3","2","RATE3","37","7",27,5.18
"3","2","RATE5","38","7",15,7
"3","1","RATE5","39","7",37,8.6
"3","3","RATE4","40","7",17,7.25
"3","1","RATE1","41","7",14,3.54
"3","1","RATE2","42","7",20,3.56
"3","1","RATE3","43","7",23,4.34
"3","3","RATE5","44","7",31,9.17
"3","3","RATE1","45","7",9.5,3.07
"3","2","RATE4","46","7",14,4.87
"3","3","RATE2","47","7",17,4.24
"4","1","RATE3","48","7",17,5.58
"4","3","RATE1","49","7",14,3.76
"4","2","RATE4","50","7",15,7.4
"4","2","RATE3","51","7",18,5.1
"4","1","RATE4","52","7",26,6.2
"4","3","RATE5","53","7",25,7.95
"4","1","RATE1","54","7",11,3.47
"4","0","RATE0","55","7",27,7.26
"4","2","RATE1","56","7",8.5,3.67
"4","1","RATE2","57","7",10,3.13
"4","3","RATE3","58","7",15.5,5.14
"4","3","RATE2","59","7",11.5,3.81
"4","3","RATE4","60","7",10,5.85
"4","2","RATE2","61","7",10.5,3.89
"4","1","RATE5","62","7",28.5,9.42
"5","1","RATE3","63","7",19,3.77
"5","2","RATE5","64","7",22,8.12
"5","1","RATE1","65","7",9,2.93
"5","3","RATE1","66","7",8,2.57
"5","2","RATE4","67","7",26,5.05
"5","3","RATE3","68","7",15,5.14
"5","3","RATE2","69","7",11,3.93
"5","2","RATE2","70","7",11,3.58
"5","3","RATE5","71","7",35,8.38
"5","2","RATE3","72","7",16.5,5.51
"5","2","RATE1","73","7",10,3.36
"5","3","RATE4","74","7",24,4.54
"5","1","RATE4","75","7",22,6.87
"5","0","RATE0","76","7",21,8.11
"5","1","RATE5","77","7",19.5,8.42
